istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
124244035;10209;2022-12-27;2023-01-03;2022-12-26 02:59
124244035;11218;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;15453;2022-12-30;2022-12-30;2022-12-26 02:59
124244035;18055;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;18056;2022-12-27;2022-12-27;2022-12-26 02:59
124244035;18056;2023-01-19;2023-01-20;2022-12-26 02:59
124244035;18268;2023-01-02;2023-01-06;2022-12-26 02:59
124244035;21350;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;22347;2022-12-23;2022-12-30;2022-12-26 02:59
124244035;23014;2023-01-02;2023-01-06;2022-12-26 02:59
124244035;23014;2023-01-19;2023-01-20;2022-12-26 02:59
124244035;24979;2022-12-29;2023-01-06;2022-12-26 02:59
124244035;25416;2022-12-27;2023-01-04;2022-12-26 02:59
124244035;25487;2022-12-27;2023-01-02;2022-12-26 02:59
124244035;26261;2022-12-30;2022-12-30;2022-12-26 02:59
124244035;26311;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;30758;2022-12-27;2022-12-28;2022-12-26 02:59
124244035;30758;2022-12-29;2022-12-30;2022-12-26 02:59
124244035;30814;2022-12-29;2022-12-30;2022-12-26 02:59
124244035;30814;2023-01-02;2023-01-06;2022-12-26 02:59
124244035;30940;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;31286;2023-01-16;2023-02-24;2022-12-26 02:59
124244035;31286;2023-01-19;2023-01-19;2022-12-26 02:59
124244035;31379;2022-07-25;2024-04-22;2022-12-26 02:59
124244035;31886;2022-12-28;2022-12-28;2022-12-26 02:59
124244035;31927;2022-10-24;2024-08-17;2022-12-26 02:59
124244035;32042;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;32042;2023-01-02;2023-01-02;2022-12-26 02:59
124244035;33172;2022-06-20;2024-04-27;2022-12-26 02:59
124244035;33311;2022-12-19;2023-01-06;2022-12-26 02:59
124244035;33958;2022-12-14;2024-10-20;2022-12-26 02:59
124244035;34041;2022-10-20;2023-02-28;2022-12-26 02:59
124244035;34208;2022-12-27;2023-01-03;2022-12-26 02:59
124244035;34846;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;4136;2022-12-19;2022-12-27;2022-12-26 02:59
124244035;4356;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;8466;2022-12-27;2022-12-30;2022-12-26 02:59
124244035;8636;2022-12-27;2022-12-30;2022-12-26 02:59
