istaigos_kodas;gydytojo_ID;iraso_sukurimo_data;apylinkes_tipas;etatinis_darbo_kruvis
124244035;10209;2022-05-20 02:59;4;1.000
124244035;10486;2022-05-20 02:59;4;1.000
124244035;11112;2022-05-20 02:59;4;1.000
124244035;11218;2022-05-20 02:59;4;1.000
124244035;121232;2022-05-20 02:59;4;1.000
124244035;12523;2022-05-20 02:59;4;1.000
124244035;12598;2022-05-20 02:59;1;1.110
124244035;15453;2022-05-20 02:59;1;1.110
124244035;15459;2022-05-20 02:59;4;1.000
124244035;16365;2022-05-20 02:59;4;0.250
124244035;16754;2022-05-20 02:59;2;1.000
124244035;16803;2022-05-20 02:59;2;1.110
124244035;16900;2022-05-20 02:59;4;1.000
124244035;17155;2022-05-20 02:59;2;1.110
124244035;17155;2022-05-20 02:59;2;1.500
124244035;17271;2022-05-20 02:59;2;1.110
124244035;17271;2022-05-20 02:59;2;1.500
124244035;17706;2022-05-20 02:59;4;1.080
124244035;17729;2022-05-20 02:59;1;1.110
124244035;18055;2022-05-20 02:59;4;1.110
124244035;18056;2022-05-20 02:59;4;0.275
124244035;18268;2022-05-20 02:59;4;1.000
124244035;21350;2022-05-20 02:59;4;1.000
124244035;21428;2022-05-20 02:59;4;1.000
124244035;21468;2022-05-20 02:59;4;1.110
124244035;22347;2022-05-20 02:59;4;1.025
124244035;23008;2022-05-20 02:59;4;1.000
124244035;23014;2022-05-20 02:59;4;0.100
124244035;23024;2022-05-20 02:59;4;1.000
124244035;23027;2022-05-20 02:59;4;1.000
124244035;24608;2022-05-20 02:59;4;1.000
124244035;24979;2022-05-20 02:59;4;1.000
124244035;25416;2022-05-20 02:59;4;1.080
124244035;25487;2022-05-20 02:59;4;1.000
124244035;25492;2022-05-20 02:59;4;1.080
124244035;25496;2022-05-20 02:59;4;1.110
124244035;25777;2022-05-20 02:59;4;1.080
124244035;26261;2022-05-20 02:59;4;1.080
124244035;26268;2022-05-20 02:59;2;0.250
124244035;26311;2022-05-20 02:59;2;1.000
124244035;30089;2022-05-20 02:59;2;1.000
124244035;30758;2022-05-20 02:59;2;1.000
124244035;30814;2022-05-20 02:59;2;1.000
124244035;30940;2022-05-20 02:59;2;1.080
124244035;31286;2022-05-20 02:59;4;1.000
124244035;31379;2022-05-20 02:59;4;1.000
124244035;31553;2022-05-20 02:59;4;1.080
124244035;31559;2022-05-20 02:59;4;1.000
124244035;31821;2022-05-20 02:59;2;1.110
124244035;31886;2022-05-20 02:59;4;1.330
124244035;31927;2022-05-20 02:59;4;1.000
124244035;32042;2022-05-20 02:59;4;1.000
124244035;32276;2022-05-20 02:59;4;1.000
124244035;32757;2022-05-20 02:59;4;1.000
124244035;33172;2022-05-20 02:59;4;1.000
124244035;33203;2022-05-20 02:59;2;1.000
124244035;33311;2022-05-20 02:59;1;1.000
124244035;33554;2022-05-20 02:59;4;1.000
124244035;33562;2022-05-20 02:59;4;1.000
124244035;33958;2022-05-20 02:59;4;1.000
124244035;34041;2022-05-20 02:59;4;1.080
124244035;34059;2022-05-20 02:59;1;1.000
124244035;34065;2022-05-20 02:59;4;1.000
124244035;34167;2022-05-20 02:59;4;1.000
124244035;34208;2022-05-20 02:59;4;1.000
124244035;34768;2022-05-20 02:59;2;1.000
124244035;34790;2022-05-20 02:59;4;1.000
124244035;34830;2022-05-20 02:59;4;1.000
124244035;34841;2022-05-20 02:59;4;1.000
124244035;34846;2022-05-20 02:59;4;1.250
124244035;361;2022-05-20 02:59;4;1.000
124244035;4136;2022-05-20 02:59;4;1.000
124244035;4356;2022-05-20 02:59;4;1.000
124244035;5579;2022-05-20 02:59;2;1.110
124244035;8466;2022-05-20 02:59;2;1.000
124244035;8494;2022-05-20 02:59;4;1.000
124244035;8636;2022-05-20 02:59;1;1.080
124244035;8706;2022-05-20 02:59;1;1.110
